STATIONID,STREAM_NAME,LAT,LONG,HUC8,HUC8NAME,HUC10,HUC12,HUC_12_Name,COUNTY,YEAR,MONTH,DAY,METHOD,METHOD_DES,SmallFrees,LargeFrees,Richness,richEPT,richEPTptv,richTcadd,richEmay,PTVbeck3,PTVbeck4,HILSindex,SHANdivers,PTVpct03,PTVpct710,INST_COVER,EPI_SUB,EMBEDDED,VELO_DEPTH,CHAN_ALT,SED_DEP,FREQ_RIFF,CHAN_FLOW,COND_BANKS,BANK_VEG,GRAZING,RIP_VEG_ZO,HAB_TOTAL,AREAsqmi,Standardization,Regular_IBI,SPEAR_IBI,IBI_Adjusted_Abundance_,R_IBI_Total_Taxa_Richness,R_IBI_EPT_Taxa_Richness,R_IBI_Beck's_Index,R_IBI_Hilsenhoff_Biotic_Index,R_IBI_Shannon_Diversity_Index,R_IBI_Percent_Sensitive_Individuals,R_IBI_Total_Individuals_Sampled,S_IBI_Total_Taxa_Richness,S_IBI_EPT_Taxa_Richness,S_IBI_Beck's_Index,S_IBI_Hilsenhoff_Biotic_Index,S_IBI_Shannon_Diversity_Index,S_IBI_Percent_Sensitive_Individuals,S_IBI_Total_Individuals_Sampled,A_IBI_Total_Taxa_Richness,A_IBI_EPT_Taxa_Richness,A_IBI_Beck's_Index,A_IBI_Hilsenhoff_Biotic_Index,A_IBI_Shannon_Diversity_Index,A_IBI_Percent_Sensitive_Individuals,A_IBI_Total_Individuals_Sampled,LC_Sites,Urban,Forested,Agriculture,OpenWaterWetland_,NA
20210408-0845-mhoger,Unnamed__Tributary_to_Robinson_Fork,40.00486861,-80.47383158,05030106,Upper_Ohio-Wheeling,0503010604,050301060402,Robinson_Fork,Washington,2021,4,8,Freestone,"6-Dframe_Composite,_200_subsample",74.686,NA,23,12,12,5,3,21,21,2.88,2.17,81.4,1.4,12,14,17,12,16,9,19,19,16,17,11,16,178,0.2,<25_standardizations,74.70438706,63.04678706,68.83089751,23,12,21,2.880952381,2.17251382,81.42857143,210,18,7,6,0.23923445,2.028020491,67.46411483,209,18,11,17,2.535885167,2.028020491,78.46889952,209,20210408-0845-mhoger_Watershed_,6.437454279,73.84540356,19.65130456,0.065837601,NA
20210408-0930-rwhiteash,Robinson_Fork,40.00539908,-80.46663734,05030106,Upper_Ohio-Wheeling,0503010604,050301060402,Robinson_Fork,Washington,2021,4,8,Freestone,"6-Dframe_Composite,_200_subsample",53.4738,NA,25,12,11,3,5,7,17,5.03,2.36,21.1,6.1,19,20,19,19,19,18,20,20,17,13,15,19,218,14,<25_standardizations,53.50896351,48.78672996,44.88592519,25,11,7,5.028169014,2.364458897,21.12676056,213,20,6,6,1.848341232,2.104265885,9.004739336,211,20,9,4,5.236966825,2.104265885,15.63981043,211,20210408-0930-rwhiteash_Watersh,6.488864449,73.86707326,19.5765741,0.06748819,NA
20210408-1101-mhoger,Unnamed__Tributary_to_Robinson_Fork,40.03349602,-80.46668064,05030106,Upper_Ohio-Wheeling,0503010604,050301060402,Robinson_Fork,Washington,2021,4,8,Freestone,"6-Dframe_Composite,_200_subsample",68.1823,NA,19,13,11,1,7,19,20,3.12,2.25,67.7,1.4,18,15,17,19,19,14,19,15,8,12,8,13,177,1.2,<25_standardizations,68.1935799,56.91551365,56.13426103,19,11,19,3.124423963,2.252079105,67.74193548,217,16,6,12,0.253456221,1.966792863,34.56221198,217,16,10,16,3.99078341,1.966792863,42.85714286,217,20210408-1101-mhoger_Watershed_,6.546990496,74.05843013,19.39457937,0,NA
20210408-1251-mhoger,Robinson_Fork,40.04289644,-80.44432567,05030106,Upper_Ohio-Wheeling,0503010604,050301060402,Robinson_Fork,Washington,2021,4,8,Freestone,"6-Dframe_Composite,_200_subsample",59.9355,NA,23,14,10,2,8,14,18,4.23,2.52,34.8,2.9,11,10,13,17,18,10,13,15,7,10,8,12,144,6.9,<25_standardizations,59.91715032,49.79472311,49.05078956,23,10,14,4.225490196,2.515136475,34.80392157,204,17,4,6,0.637254902,2.135281254,17.15686275,204,17,8,11,4.573529412,2.135281254,25.49019608,204,20210408-1251-mhoger_Watershed_,6.299534693,71.52426241,22.05348469,0.122718208,NA
20210412-1000-mbrickner,Unnamed__Tributary_to_Marsh_Creek,40.06573164,-75.70460162,02040205,Brandywine-Christina,0204020501,020402050101,Marsh_Creek,Chester,2021,4,12,Freestone,"6-Dframe_Composite,_200_subsample",35.9921,NA,17,7,4,6,1,4,8,5.28,2.01,3.7,0.5,15,16,11,12,14,11,17,18,14,16,8,6,158,0.9,<25_standardizations,36.01478369,39.9280471,33.3695699,17,4,4,5.282407407,2.014625556,3.703703704,216,14,2,0,1.828703704,1.907217667,16.2037037,216,14,4,4,5.305555556,1.907217667,1.388888889,216,20210412-1000-mbrickner_Watersh,53.45833333,26.625,16.375,3.541666667,NA
20210412-1130-mbrickner,Unnamed__Tributary_to_Marsh_Creek,40.07632179,-75.70900983,2040205,Brandywine-Christina,0204020501,020402050101,Marsh_Creek,Chester,2021,4,12,Freestone,"6-Dframe_Composite,_200_subsample",41.2611,NA,21,9,6,5,3,5,14,5.13,2.03,6.9,0,10,11,9,18,16,8,9,18,10,17,18,18,162,1.4,<25_standardizations,41.24401611,38.1401688,37.72370246,21,6,5,5.128712871,2.025557665,6.930693069,202,16,3,0,2.189054726,1.85103602,2.985074627,201,16,6,7,5.213930348,1.85103602,3.482587065,201,20210412-1130-mbrickner_Watersh,57.13897937,14.44082519,26.19435396,2.225841477,NA
20210412-1230-mbrickner,Black_Horse_Creek,40.09044984,-75.71901616,02040205,Brandywine-Christina,0204020501,020402050101,Marsh_Creek,Chester,2021,4,12,Freestone,"6-Dframe_Composite,_200_subsample",44.199,NA,23,10,8,4,5,5,16,5.19,2.02,8.7,1,16,17,13,18,15,15,16,18,14,16,15,9,182,3.6,<25_standardizations,44.22345852,38.29892582,36.84448861,23,8,5,5.189320388,2.022651534,8.737864078,206,17,3,0,2.536585366,1.767547613,7.317073171,205,17,6,4,5.331707317,1.767547613,6.829268293,205,20210412-1230-mbrickner_Watersh,0,0,29.41176471,70.58823529,NA
20210412-1330-mbrickner,Marsh_Creek,40.0890837,-75.73058843,02040205,Brandywine-Christina,0204020501,020402050101,Marsh_Creek,Chester,2021,4,12,Freestone,"6-Dframe_Composite,_200_subsample",66.9211,NA,28,17,12,7,6,20,24,4,2.56,31.6,0,17,16,15,18,17,14,12,18,14,14,12,15,182,8.8,<25_standardizations,66.94156967,56.19167592,57.32004153,28,12,20,4.004651163,2.564178685,31.62790698,215,21,8,9,0.953488372,2.341348509,12.09302326,215,21,11,14,4.493023256,2.341348509,30.23255814,215,20210412-1330-mbrickner_Watersh,12.06576226,47.50937708,31.66824412,8.756616539,NA
20210412-1530-mbrickner,Pine_Creek,40.42734415,-75.69876489,2040203,Schuylkill,0204020305,020402030501,Upper_Manatawny_Creek,Berks,2021,4,12,Freestone,"6-Dframe_Composite,_200_subsample",83.151,NA,30,19,15,6,8,41,35,3.36,2.5,50.5,0.5,16,18,17,15,18,16,19,20,17,19,17,15,207,3.6,<25_standardizations,84.48403452,60.25889349,71.77567157,30,15,41,3.355769231,2.502101287,50.48076923,208,25,8,15,0.970873786,2.377157819,8.252427184,206,25,14,25,3.742718447,2.377157819,46.60194175,206,20210412-1530-mbrickner_Watersh,6.17838482,78.76065634,12.3476029,2.713355945,NA
20210413-0742-mshank,Brush_Creek,39.84376557,-78.8110754,02070002,North_Branch_Potomac,0207000205,020700020501,Brush_Creek,Somerset,2021,4,13,Freestone,"6-Dframe_Composite,_200_subsample",85.5335,97.1811,30,19,16,5,11,31,32,2.63,2.52,65.5,0,15,18,18,17,16,19,18,19,17,18,20,19,214,33.2,<25_standardizations,85.55939251,50.49765691,58.3139509,30,16,31,2.626213592,2.521966114,65.53398058,206,21,5,6,0.837438424,2.20992467,5.911330049,203,21,10,11,3.733990148,2.20992467,42.36453202,203,20210413-0742-mshank_Watershed_,5.360558284,80.26260016,14.23933833,0.137503231,NA
20210413-0805-rwhiteash,Unnamed__Tributary_to_Brush_Creek,39.84328987,-78.81090939,02070002,North_Branch_Potomac,0207000205,020700020501,Brush_Creek,Somerset,2021,4,13,Freestone,"6-Dframe_Composite,_200_subsample",92.275,NA,26,19,17,6,9,36,33,1.8,2.64,83.1,3.5,14,17,19,16,20,14,19,14,15,19,20,20,207,0.9,<25_standardizations,92.4267627,60.43101282,74.91702849,26,17,36,1.800995025,2.635197017,83.08457711,201,21,9,9,0.175879397,2.458085997,17.5879397,199,21,15,19,2.452261307,2.458085997,65.82914573,199,20210413-0805-rwhiteash_Watersh,4.780719083,70.40695377,24.81232714,0,NA
20210413-0955-drebuck,Unnamed__Tributary_to_Pine_Creek,40.92635184,-77.38166752,02050301,Lower_Susquehanna-Penns,0205030102,020503010202,Voneida_Run-Pine_Creek,Centre,2021,4,13,Freestone,"6-Dframe_Composite,_200_subsample",89.006,NA,28,17,17,5,7,32,33,2.01,2.53,74.8,0,16,19,18,17,18,17,19,16,20,18,17,15,210,1.5,<25_standardizations,88.91765857,60.2152145,72.50269491,28,17,32,2.053398058,2.531611166,74.75728155,206,22,8,12,0.682926829,2.389317663,19.02439024,205,22,13,20,2.712195122,2.389317663,62.43902439,205,20210413-0955-drebuck_Watershed,0.903861956,98.79485073,0.301287319,0,NA
20210413-0958-mshank,Brush_Creek,39.86778615,-78.81727233,02070002,North_Branch_Potomac,0207000205,020700020501,Brush_Creek,Somerset,2021,4,13,Freestone,"6-Dframe_Composite,_200_subsample",93.0471,98.31,34,23,19,4,14,30,35,2.11,2.57,77.9,0.5,19,19,18,18,16,18,20,18,17,16,14,17,210,28.1,<25_standardizations,93.56750226,58.28066289,64.82449206,34,19,30,2.107981221,2.57071792,77.9342723,213,24,7,12,0.636792453,2.247080353,12.26415094,212,24,12,12,3.344339623,2.247080353,51.41509434,212,20210413-0958-mshank_Watershed_,5.065272864,80.99998767,13.77571775,0.159021708,NA
20210413-1100-rwhiteash,Unnamed__Tributary_to_Hillegas_Run,39.92135829,-78.8113685,02070002,North_Branch_Potomac,0207000205,020700020501,Brush_Creek,Somerset,2021,4,13,Freestone,"6-Dframe_Composite,_200_subsample",86.0513,NA,28,18,15,5,9,28,31,2.3,2.68,76.2,1,19,18,19,19,18,13,18,14,12,17,18,15,200,1.5,<25_standardizations,86.04366206,56.01672464,62.14077985,28,15,28,2.301980198,2.678097491,76.23762376,202,20,7,9,0.247524752,2.289975322,12.37623762,202,20,12,16,3.603960396,2.289975322,40.59405941,202,20210413-1100-rwhiteash_Watersh,2.556285178,78.98686679,18.45684803,0,NA
20210413-1146-mshank,Hillegas_Run,39.92163316,-78.81426885,02070002,North_Branch_Potomac,0207000205,020700020501,Brush_Creek,Somerset,2021,4,13,Freestone,"6-Dframe_Composite,_200_subsample",33.3293,NA,11,5,5,1,1,8,8,5.37,1.22,16.5,1.8,13,12,11,16,18,8,14,15,13,17,19,19,175,1.7,<25_standardizations,33.31748571,31.50507283,28.447919,11,5,8,5.371559633,1.218058716,16.51376147,218,9,4,6,3.371559633,1.04875074,5.504587156,218,9,5,8,5.756880734,1.04875074,5.963302752,218,20210413-1146-mshank_Watershed_,7.273528764,67.68789949,24.99448975,0.044081993,NA
20210413-1200-drebuck,Unnamed__Tributary_to_Pine_Creek,40.91421566,-77.39165724,02050301,Lower_Susquehanna-Penns,0205030102,020503010202,Voneida_Run-Pine_Creek,Centre,2021,4,13,Freestone,"6-Dframe_Composite,_200_subsample",76.854,NA,31,18,14,7,8,22,26,3.59,2.86,47.8,5.3,16,15,14,17,16,11,15,18,13,16,13,7,171,0.6,<25_standardizations,76.88091098,54.86543486,64.74924357,31,14,22,3.593301435,2.8641776,47.84688995,209,22,7,6,1.029411765,2.457892661,11.2745098,204,22,12,17,3.995098039,2.457892661,45.58823529,204,20210413-1200-drebuck_Watershed,5.921052632,59.4924812,34.58646617,0,NA
20210413-1236-rwhiteash,Hillegas_Run,39.92695196,-78.82195975,02070002,North_Branch_Potomac,0207000205,020700020501,Brush_Creek,Somerset,2021,4,13,Freestone,"6-Dframe_Composite,_200_subsample",23.9991,NA,7,3,3,0,1,7,6,5.58,0.68,8.7,0,7,12,8,13,16,11,16,15,9,10,11,9,137,1.7,<25_standardizations,23.97838564,21.88160931,21.77297582,7,3,7,5.575342466,0.675600708,8.675799087,219,6,2,3,4.200913242,0.601168569,1.826484018,219,6,3,7,5.753424658,0.601168569,4.109589041,219,20210413-1236-rwhiteash_Watersh,8.661926309,62.5727214,28.76535229,0,NA
20210413-1328-mshank,Unnamed__Tributary_to_Hillegas_Run,39.92206389,-78.8075597,02070002,North_Branch_Potomac,0207000205,020700020501,Brush_Creek,Somerset,2021,4,13,Freestone,"6-Dframe_Composite,_200_subsample",89.1508,NA,25,19,17,6,8,29,29,1.73,2.67,86.4,0.5,15,18,18,16,16,19,19,16,15,17,13,11,193,1,<25_standardizations,89.84007648,62.51883922,72.0322121,25,17,29,1.733009709,2.668378144,86.40776699,206,20,10,12,0.098522167,2.444465583,19.21182266,203,20,15,19,2.832512315,2.444465583,58.12807882,203,20210413-1328-mshank_Watershed_,0.370121131,94.44818304,5.181695828,0,NA
20210413-1410-drebuck,Unnamed__Tributary_to_Elk_Creek,40.91371401,-77.42684868,02050301,Lower_Susquehanna-Penns,0205030102,020503010201,Elk_Creek,Centre,2021,4,13,Freestone,"6-Dframe_Composite,_200_subsample",89.1906,NA,34,20,18,6,9,33,36,2.88,2.69,60.6,4.2,16,19,17,16,18,14,19,17,17,18,17,14,202,0.8,<25_standardizations,89.72344167,62.93616169,72.08577733,34,18,33,2.884259259,2.694638047,60.64814815,216,26,10,12,0.957943925,2.506553535,13.08411215,214,26,14,20,3.373831776,2.506553535,49.06542056,214,20210413-1410-drebuck_Watershed,0.050075113,99.94992489,0,0,NA
20210414-0742-rwhiteash,Hillegas_Run,39.91156505,-78.81932859,02070002,North_Branch_Potomac,0207000205,020700020501,Brush_Creek,Somerset,2021,4,14,Freestone,"6-Dframe_Composite,_200_subsample",65.4771,NA,16,7,7,1,3,15,15,2.24,2.07,88.6,1.9,15,15,15,14,19,15,17,14,10,16,17,15,182,3.7,<25_standardizations,46.81726268,43.62005501,45.56686406,16,7,15,2.393364929,0,79.76303318,211,13,4,6,0.28436019,1.96658002,19.62085308,211,13,7,9,3.952606635,1.96658002,54.17061611,211,20210414-0742-rwhiteash_Watersh,5.050896752,72.46728066,22.46243335,0.019389239,NA
20210414-0900-mbrickner,Unnamed__Tributary_to_Sixpenny_Creek,40.2402529,-75.77777997,02040203,Schuylkill,0204020306,020402030611,Sixpenny_Creek-Schuylkill_River,Berks,2021,4,14,Freestone,"6-Dframe_Composite,_200_subsample",90.2351,NA,28,18,15,5,6,37,32,1.92,2.59,76.1,0.5,18,18,14,14,19,15,20,20,19,17,20,20,214,1,<25_standardizations,90.24829154,63.4010242,75.2518584,28,15,37,1.917073171,2.591246209,76.09756098,205,22,10,15,0.367647059,2.460732895,14.21568627,204,22,13,21,2.431372549,2.460732895,69.11764706,204,20210414-0900-mbrickner_Watersh,5.059021922,94.94097808,0,0,NA
20210414-0904-rwhiteash,Hillegas_Run,39.90458439,-78.82478027,02070002,North_Branch_Potomac,0207000205,020700020501,Brush_Creek,Somerset,2021,4,14,Freestone,"6-Dframe_Composite,_200_subsample",70.0986,NA,22,10,9,2,5,18,19,2.7,2.3,75,0.5,16,19,17,19,19,17,16,19,15,18,20,20,215,6.4,<25_standardizations,70.0784139,51.35993018,59.6633487,22,9,18,2.697115385,2.295484022,75,208,17,5,6,0.990338164,2.059259527,26.57004831,207,17,8,12,3.560386473,2.195585363,64.73429952,207,20210414-0904-rwhiteash_Watersh,5.408707241,73.68391826,20.89626833,0.011106175,NA
20210414-0923-twertz,Laurel_Creek,40.76365884,-77.59392444,02050301,Lower_Juniata,0205030406,020503040602,Laurel_Creek,Centre,2021,4,14,Freestone,"6-Dframe_Composite,_200_subsample",90.2396,NA,29,20,16,5,9,33,31,2.13,2.6,79.9,0.5,19,19,18,18,18,18,20,19,18,19,18,19,223,2.5,<25_standardizations,90.22301056,62.24588047,70.84695374,29,16,33,2.130653266,2.597405958,79.89949749,199,21,8,12,0.227272727,2.401679247,26.76767677,198,21,12,22,2.888888889,2.401679247,58.08080808,198,20210414-0923-twertz_Watershed_,5.60965574,91.33177891,0.384035112,2.674530243,NA
20210414-0940-drebuck,Unnamed__Tributary_to_Pine_Creek,40.90567459,-77.35908332,02050301,Lower_Susquehanna-Penns,0205030102,020503010202,Voneida_Run-Pine_Creek,Centre,2021,4,14,Freestone,"6-Dframe_Composite,_200_subsample",41.5883,NA,23,6,4,2,4,5,10,5.9,2.35,10.9,11.4,15,7,5,12,8,7,7,15,12,11,7,5,111,1.4,<25_standardizations,41.37995528,40.50542017,34.39617877,23,4,5,5.994818653,2.348340327,10.88082902,193,15,2,0,1.19047619,1.974369397,7.936507937,189,15,4,3,5.80952381,1.974369397,9.523809524,189,20210414-0940-drebuck_Watershed,5.272727273,30.06060606,64.66666667,0,NA
20210414-1023-rwhiteash,Unnamed__Tributary_to_Hillegas_Run,39.90380186,-78.8278221,02070002,North_Branch_Potomac,0207000205,020700020501,Brush_Creek,Somerset,2021,4,14,Freestone,"6-Dframe_Composite,_200_subsample",92.1498,NA,31,21,18,3,13,32,33,2.03,2.49,80,0.5,13,15,15,16,20,10,17,14,14,16,20,16,186,2.5,<25_standardizations,92.15737058,52.982397,63.12881808,31,18,32,2.029268293,2.49106419,80,205,20,5,9,0.223880597,2.16094847,9.452736318,201,20,12,17,3.228855721,2.16094847,43.28358209,201,20210414-1023-rwhiteash_Watersh,4.587026875,72.660757,22.73814549,0.014070635,NA
20210414-1027-twertz,Greens_Valley_Stream,40.75670943,-77.58526506,02050304,Lower_Juniata,0205030406,020503040602,Laurel_Creek,Mifflin,2021,4,14,Freestone,"6-Dframe_Composite,_200_subsample",66.6476,NA,17,11,10,4,2,16,17,2.48,1.83,81.9,1,19,20,18,19,20,20,20,20,19,20,20,20,235,2.7,<25_standardizations,66.6674364,61.00544939,59.67129384,17,10,16,2.480392157,1.834788417,81.8627451,204,14,7,9,0.420792079,1.699725268,72.27722772,202,14,8,13,2.445544554,1.699725268,73.26732673,202,20210414-1027-twertz_Watershed_,2.381274523,97.61872548,0,0,NA
20210414-1030-jbrancato,Bennett_Branch_Sinnemahoning_Creek,41.34099098,-78.1933023,2050202,Sinnemahoning,0205020203,020502020312,Lower_Bennett_Branch_Sinnemahoning_Creek,Cameron,2021,4,14,Freestone,"6-Dframe_Composite,_200_subsample",NA,98.6596,32,25,22,7,10,31,36,2.52,2.63,79,0,17,17,16,17,17,16,17,19,14,18,18,16,202,355.1,>50_std,116.6382583,76.07464569,88.59250809,32,22,31,2.517857143,2.63321254,79.01785714,224,23,11,15,0.112107623,2.178127134,17.93721973,223,23,13,16,2.852017937,2.178127134,82.95964126,223,20210414-1030-jbrancato_Watersh,3.796100294,92.30798388,2.709209271,1.186706554,NA
20210414-1040-smeans,Kettle_Creek,41.55914667,-77.68152199,02050203,Middle_West_Branch_Susquehanna,0205020301,020502030102,Upper_Kettle_Creek,Potter,2021,4,14,Freestone,"6-Dframe_Composite,_200_subsample",92.9865,98.6756,32,23,21,5,9,40,39,2.84,2.88,61.4,0,18,19,19,17,19,19,19,20,17,17,17,15,216,43.5,<25_standardizations,95.72026313,72.83581275,74.95789385,32,21,40,2.842391304,2.877951346,61.41304348,184,26,12,27,1.092896175,2.655431103,18.03278689,183,26,17,22,3.644808743,2.655431103,44.26229508,183,20210414-1040-smeans_Watershed_,3.04112083,86.9569003,9.767681165,0.234297701,NA
20210414-1115-jbrancato,Bennett_Branch_Sinnemahoning_Creek,41.35292655,-78.26436821,02050202,Sinnemahoning,0205020203,020502020312,Lower_Bennett_Branch_Sinnemahoning_Creek,Elk,2021,4,14,Freestone,"6-Dframe_Composite,_200_subsample",NA,99.6503,31,20,17,4,11,23,29,2.32,2.8,73.3,1.8,17,17,14,17,16,15,17,18,13,18,18,16,196,249.3,>50_std,104.836672,64.74907321,80.15531746,31,17,23,2.322580645,2.800088835,73.2718894,217,22,6,9,0.163551402,2.169820767,14.48598131,214,22,11,11,3.018691589,2.169820767,76.63551402,214,20210414-1115-jbrancato_Watersh,4.059757107,91.17057687,3.403808998,1.365857025,NA
20210414-1158-rwhiteash,Panther_Run,39.88514358,-78.85334719,02070002,North_Branch_Potomac,0207000205,020700020501,Brush_Creek,Somerset,2021,4,14,Freestone,"6-Dframe_Composite,_200_subsample",78.2368,NA,23,16,13,3,9,20,22,1.88,2.25,86.8,0,14,15,15,18,18,12,19,12,14,14,14,10,175,3,<25_standardizations,78.71495104,52.73472713,63.10946608,23,13,20,1.884615385,2.253921945,86.75213675,234,17,5,9,0.193965517,2.089694268,17.67241379,232,17,11,15,3,2.089694268,59.48275862,232,20210414-1158-rwhiteash_Watersh,3.851801649,83.53100644,12.61719191,0,NA
20210414-1230-jbrancato,Bennett_Branch_Sinnemahoning_Creek,41.3135638,-78.38046309,2050202,Sinnemahoning,0205020203,020502020312,Lower_Bennett_Branch_Sinnemahoning_Creek,Elk,2021,4,14,Freestone,"6-Dframe_Composite,_200_subsample",NA,95.2205,41,27,22,8,12,31,40,3.23,3.28,49.3,5.6,17,17,16,18,16,16,17,18,17,18,18,16,204,229.3,>50_std,116.1102225,83.1337338,91.99491335,41,22,31,3.23255814,3.280545426,49.30232558,215,30,11,12,0.289855072,2.815927651,27.0531401,207,30,15,18,3.449275362,2.815927651,57.97101449,207,20210414-1230-jbrancato_Watersh,4.112806698,91.01902211,3.527384213,1.340786983,NA
20210414-1300-smeans,Kettle_Creek,41.40200924,-77.92059954,02050203,Middle_West_Branch_Susquehanna,0205020301,020502030106,Lower_Kettle_Creek,Clinton,2021,4,14,Freestone,"6-Dframe_Composite,_200_subsample",NA,98.1096,32,18,16,8,7,26,32,2.67,2.72,62.4,2.3,20,18,18,18,15,18,17,20,15,14,13,12,198,207.7,>50_std,102.5949487,70.47393584,81.23230123,32,16,26,2.671361502,2.719827614,62.44131455,213,24,9,9,0.23923445,2.283597233,18.66028708,209,24,13,14,3.507177033,2.283597233,61.24401914,209,20210414-1300-smeans_Watershed_,4.832713755,86.24535316,5.94795539,2.973977695,NA
20210414-1315-jbrancato,Bennett_Branch_Sinnemahoning_Creek,41.3123595,-78.38901061,02050202,Sinnemahoning,0205020203,020502020305,Middle_Bennett_Branch_Sinnemahoning_Creek,Elk,2021,4,14,Freestone,"6-Dframe_Composite,_200_subsample",NA,92.184,37,23,19,6,10,30,36,3.35,2.91,38.3,4,17,18,17,17,19,16,18,18,17,19,19,17,212,173.8,>50_std,81.31123653,66.07309342,71.45730813,37,19,30,3.353233831,1.987863776,38.30845771,201,25,10,15,0.153846154,2.440157094,18.46153846,195,25,12,17,3.194871795,2.440157094,64.1025641,195,20210414-1315-jbrancato_Watersh,4.356630661,90.77750927,3.400663679,1.465196394,NA
20210414-1337-rwhiteash,Brush_Creek,39.87369978,-78.86392229,02070002,North_Branch_Potomac,0207000205,020700020501,Brush_Creek,Somerset,2021,4,14,Freestone,"6-Dframe_Composite,_200_subsample",86.5298,NA,29,21,19,6,12,24,31,2.48,2.58,72,0,18,16,15,17,14,11,19,13,10,19,16,12,180,10.3,<25_standardizations,86.52531954,54.45739471,67.8273014,29,19,24,2.47826087,2.579277478,71.98067633,207,21,8,6,0.628019324,2.187992274,11.11111111,207,21,14,15,3.333333333,2.187992274,60.38647343,207,20210414-1337-rwhiteash_Watersh,5.167718366,86.5692461,8.10362006,0.159415477,NA
20210414-1345-drebuck,Unnamed__Tributary_to_Pine_Creek,40.90187053,-77.400938,02050301,Lower_Susquehanna-Penns,0205030102,020503010202,Voneida_Run-Pine_Creek,Centre,2021,4,14,Freestone,"6-Dframe_Composite,_200_subsample",49.7601,NA,25,11,7,3,6,10,15,5.76,2.59,14.2,23.9,15,14,13,16,14,8,14,17,12,12,10,7,152,0.9,<25_standardizations,49.76987379,46.67603932,41.3161179,25,7,10,5.756637168,2.59186396,14.15929204,226,18,3,6,1.227678571,2.362222765,2.678571429,224,18,6,5,5.888392857,2.362222765,12.94642857,224,20210414-1345-drebuck_Watershed,4.359599242,58.13701598,37.09721094,0.406173842,NA
20210415-0728-rwhiteash,Brush_Creek,39.84984652,-78.93401912,02070002,North_Branch_Potomac,0207000205,020700020501,Brush_Creek,Somerset,2021,4,15,Freestone,"6-Dframe_Composite,_200_subsample",81.8076,NA,23,17,15,4,7,31,29,2.13,2.36,68.5,0,19,20,17,18,20,18,19,15,17,14,14,13,204,1.3,<25_standardizations,68.0606502,57.89016115,72.60049105,23,15,31,2.131455399,0,68.54460094,213,20,8,12,0.300925926,2.281123369,11.57407407,216,20,14,24,2.708333333,2.281123369,57.87037037,216,20210415-0728-rwhiteash_Watersh,5.380181169,81.0870162,13.42300302,0.109799616,NA
20210415-0755-shawnmille,Mains_Run,39.99802158,-77.48631453,2050305,Lower_Susquehanna-Swatara,0205030503,020503050302,Middle_Spring_Creek,Franklin,2021,4,15,Freestone,"6-Dframe_Composite,_200_subsample",58.1841,NA,19,9,8,6,0,15,17,3.38,2.13,45.5,0.5,18,18,19,18,20,17,18,20,18,20,20,14,220,1.2,<25_standardizations,58.15760393,51.70907166,47.58968655,19,8,15,3.382882883,2.126639446,45.4954955,222,15,8,6,0.522727273,1.821470909,22.27272727,220,15,8,14,4.409090909,1.821470909,24.09090909,220,20210415-0755-shawnmille_Waters,5.636363636,94.36363636,0,0,NA
20210415-0838-rwhiteash,Brush_Creek,39.85221752,-78.91939001,02070002,North_Branch_Potomac,0207000205,020700020501,Brush_Creek,Somerset,2021,4,15,Freestone,"6-Dframe_Composite,_200_subsample",88.5335,NA,33,20,16,6,10,27,29,2.5,2.81,72,0.4,13,15,13,15,19,16,16,20,13,14,14,13,181,1.9,<25_standardizations,71.78985657,54.9557559,66.1306421,32,16,27,2.464285714,0,72.32142857,224,21,7,9,0.269058296,2.235241226,6.278026906,223,21,13,15,3.493273543,2.235241226,56.50224215,223,20210415-0838-rwhiteash_Watersh,5.432710637,76.70606176,17.78497903,0.07624857,NA
20210415-0900-shawnmille,Burd_Run,40.01024978,-77.46189845,02050305,Lower_Susquehanna-Swatara,0205030503,020503050301,Thompson_Creek-Burd_Run,Cumberland,2021,4,15,Freestone,"6-Dframe_Composite,_200_subsample",74.6973,NA,24,12,11,7,2,25,26,2.59,2.33,66.7,0,14,20,18,17,17,17,20,20,18,13,15,13,202,3.8,<25_standardizations,74.68595312,62.71431852,64.36558009,24,11,25,2.587962963,2.328468249,66.66666667,216,17,9,6,0.469483568,2.182575331,57.27699531,213,17,10,17,2.755868545,2.182575331,60.56338028,213,20210415-0900-shawnmille_Waters,7.315014536,92.68498546,0,0,NA
20210415-0930-smeans,Unnamed__Tributary_to_Norris_Brook,41.76935772,-77.24074953,02050104,Tioga,0205010406,020501040601,Catlin_Hollow,Tioga,2021,4,15,Freestone,"6-Dframe_Composite,_200_subsample",65.8938,NA,20,13,10,3,5,18,18,3.35,2.02,69.4,0,10,12,14,14,14,12,18,15,10,12,16,13,160,3.7,<25_standardizations,65.87167982,54.39585535,53.98376664,20,10,18,3.354066986,2.018373543,69.37799043,209,16,6,9,1.057692308,1.781668952,42.30769231,208,16,8,12,3.721153846,1.781668952,52.40384615,208,20210415-0930-smeans_Watershed_,9.399279894,43.50009475,44.06859958,3.032025772,NA
