STATIONID,STREAM_NAME,LAT,LONG,YEAR,MONTH,DAY,AREAsqmi,Regular_IBI,SPEAR_IBI,IBI_Adjusted_Abundance_,SIBI-AIBI,SIBI-RIBI,S_IBI_Total_Taxa_Richness,S_IBI_EPT_Taxa_Richness,S_IBI_Beck's_Index,S_IBI_Hilsenhoff_Biotic_Index,S_IBI_Shannon_Diversity_Index,S_IBI_Percent_Sensitive_Individuals,S_IBI_Total_Individuals_Sampled,A_IBI_Total_Taxa_Richness,A_IBI_EPT_Taxa_Richness,A_IBI_Beck's_Index,A_IBI_Hilsenhoff_Biotic_Index,A_IBI_Shannon_Diversity_Index,A_IBI_Percent_Sensitive_Individuals,A_IBI_Total_Individuals_Sampled,Impaired-0_Attaining-1,Urban,Forested,Agriculture,OpenWaterWetland_,INST_COVER,EPI_SUB,R_IBI_Total_Taxa_Richness,R_IBI_EPT_Taxa_Richness,R_IBI_Beck's_Index,R_IBI_Hilsenhoff_Biotic_Index,R_IBI_Shannon_Diversity_Index,R_IBI_Percent_Sensitive_Individuals,R_IBI_Total_Individuals_Sampled,EMBEDDED,VELO_DEPTH,CHAN_ALT,SED_DEP,FREQ_RIFF,CHAN_FLOW,COND_BANKS,BANK_VEG,GRAZING,RIP_VEG_ZO,HAB_TOTAL,DESIGNATED_USE,IBI_Impairment_Threshold,Impaired-0_Attaining-1
20210315-1100-smeans,Bear_Creek,41.93225963,-77.15396366,2021,3,15,3.5,77.42873798,42.49170152,57.59267629,-15.10097477,-34.93703646,16,7,9,4.568181818,1.816012616,13.06818182,176,16,12,21,4.096590909,1.816012616,35.79545455,176,1,4.656124498,86.18222892,8.396084337,0.765562249,11,13,17,13,31,2.034090909,0.069406904,85.79545455,176,16,13,12,15,18,10,12,11,17,13,161,CWF,50,1
20210315-1220-drebuck,Elk_Creek,40.92124647,-77.48011771,2021,3,15,30.8,58.14576569,45.01915764,46.262161,-1.243003364,-13.12660806,17,5,8,4.236111111,2.065430518,23.61111111,216,17,7,3,4.439814815,2.065430518,34.25925926,216,0,4.159774688,68.62510617,26.31767178,0.89744736,17,18,22,8,14,3.848623853,0,41.74311927,218,14,19,19,14,16,19,16,18,19,19,208,HQ-CWF,63,0
20210315-1440-drebuck,Elk_Creek,40.90794635,-77.47701353,2021,3,15,42.9,57.61036045,39.50461939,46.04765712,-6.543037727,-18.10574105,17,5,7,4.844339623,1.968559131,7.075471698,212,17,8,7,4.797169811,1.968559131,26.41509434,212,0,4.581790911,66.01193515,28.76085014,0.645423794,16,20,22,11,14,4.413953488,0,32.55813953,215,14,17,15,15,19,19,17,17,15,11,195,HQ-CWF,63,0
20210317-1000-drebuck,Elk_Creek,40.89456131,-77.47689876,2021,3,17,46.2,58.99211927,41.26081379,48.38459903,-7.123785237,-17.73130548,21,5,4,4.891509434,2.16567938,7.075471698,212,21,8,10,5.117924528,2.16567938,18.86792453,212,0,4.417960214,67.885492,27.0852577,0.611290092,18,19,26,10,16,4.718309859,0,26.29107981,213,15,19,16,16,18,19,17,15,15,11,198,HQ-CWF,63,0
20210317-1100-smeans,Wise_Run,41.16502449,-78.55478756,2021,3,17,0.5,65.86622984,43.80501427,47.72475637,-3.919742101,-22.06121557,19,6,9,4.763888889,2.09849805,10.18518519,216,19,10,9,4.652777778,2.09849805,11.11111111,216,1,1.188455008,97.79286927,0,1.018675722,10,9,27,9,15,3.737327189,2.414343295,54.83870968,217,15,10,20,10,14,20,15,15,20,20,178,HQ-CWF,63,1
20210317-1230-drebuck,Elk_Creek,40.88152027,-77.46430515,2021,3,17,56.1,60.08925795,41.33764974,49.53642057,-8.198770827,-18.75160821,17,4,5,5.112244898,1.995651912,3.571428571,196,17,7,7,5.382653061,1.995651912,20.40816327,196,0,5.91874996,63.12586782,30.42749371,0.52788851,15,16,20,8,13,4.929648241,2.096112075,27.13567839,199,14,17,15,14,16,18,15,15,16,16,187,HQ-CWF,63,0
20210319-1015-drebuck,Unnamed__Tributary_to_Elk_Creek,40.94307192,-77.48551388,2021,3,19,0.9,76.17956577,49.2123826,63.61010026,-14.39771766,-26.96718317,20,8,11,4.419191919,2.198507926,15.15151515,198,20,13,20,3.843434343,2.198507926,39.8989899,198,1,0.112485939,99.88751406,0,0,15,16,23,15,26,2.97979798,0,63.13131313,198,16,15,17,16,18,16,18,18,18,17,200,HQ-CWF,63,1
20210319-1220-drebuck,Unnamed__Tributary_to_Elk_Creek,40.93704291,-77.52340012,2021,3,19,1,74.48020377,42.90256477,58.42394077,-15.521376,-31.577639,18,6,5,4.844339623,2.36918889,9.905660377,212,18,10,13,3.603773585,2.36918889,40.09433962,212,0,6.282513005,93.71748699,0,0,17,18,24,11,20,2.530516432,0,70.89201878,213,17,18,15,14,19,16,17,17,16,16,200,HQ-CWF,63,1
20210319-1400-drebuck,Unnamed__Tributary_to_Elk_Creek,40.92779341,-77.5467178,2021,3,19,0.8,91.96759284,56.96769606,73.84233058,-16.87463451,-34.99989678,24,9,14,4.21182266,2.462398624,23.15270936,203,24,13,21,3.078817734,2.462398624,63.54679803,203,1,3.730846103,96.2691539,0,0,17,18,31,18,35,2.553921569,0,74.50980392,204,14,17,16,13,19,15,18,17,16,12,192,HQ-CWF,63,1
20210322-1045-drebuck,Unnamed__Tributary_to_Elk_Creek,40.91066587,-77.47569058,2021,3,22,0.6,83.10202771,53.35109935,63.67689853,-10.32579917,-29.75092835,22,9,14,4.575757576,2.482651709,13.13131313,198,22,12,18,4.060606061,2.482651709,37.87878788,198,1,0.114285714,99.88571429,0,0,15,19,25,15,33,2.696969697,0,66.66666667,198,19,16,18,18,19,14,19,18,18,17,210,HQ-CWF,63,1
20210322-1240-drebuck,Phillips_Creek,40.90908561,-77.48004095,2021,3,22,1.8,89.39383537,52.1096719,59.48003882,-7.370366919,-37.28416347,23,9,14,4.851674641,2.303650347,12.44019139,209,23,12,16,4.488038278,2.303650347,28.22966507,209,1,0.096043027,99.84633116,0.057625816,0,17,20,31,18,37,2.933014354,0,65.07177033,209,19,18,15,18,20,17,15,17,17,14,207,EV,63,1
20210322-1430-drebuck,Unnamed__Tributary_to_Elk_Creek,40.90823997,-77.483573,2021,3,22,0.7,91.94272014,56.39943491,72.31985548,-15.92042056,-35.54328523,23,10,17,4.794258373,2.61082132,13.39712919,209,23,14,23,3.387559809,2.61082132,48.32535885,209,1,0.407925408,99.59207459,0,0,15,18,28,17,36,2.128571429,0,76.19047619,210,17,15,16,15,18,14,16,17,17,14,192,HQ-CWF,63,1
20210323-0900-jagrassi,Rays_Run,41.01660073,-79.77096657,2021,3,23,0.6,82.51296772,60.31740103,78.29407397,-17.97667294,-22.19556669,20,9,17,3.654450262,2.504722434,36.64921466,191,20,13,21,1.638743455,2.504722434,82.72251309,191,1,8.082497213,59.81047938,31.99554069,0.11148272,11,10,22,13,27,1.652849741,0,85.49222798,193,10,15,13,15,13,15,10,13,12,13,150,CWF,50,1
20210323-1030-smeans,Mutton_Lane_Creek,41.94825267,-77.05431423,2021,3,23,5.4,59.6945973,32.61103882,37.36109288,-4.750054058,-27.08355848,11,3,8,4.577981651,1.350915333,9.633027523,218,11,7,9,5.155963303,1.350915333,19.72477064,218,1,5.335113824,50.55322396,43.60930942,0.502352792,9,13,14,8,13,2.602739726,0,83.10502283,219,13,10,12,13,18,9,7,7,15,13,139,WWF,50,1
20210323-1055-drebuck,Unnamed__Tributary_to_Penns_Creek,40.9007617,-77.54446384,2021,3,23,0.6,81.60591349,56.53425872,69.90179204,-13.36753332,-25.07165477,25,10,14,4.468899522,2.409731765,18.18181818,209,25,13,18,3.588516746,2.409731765,54.54545455,209,1,5.362462761,94.63753724,0,0,17,19,28,16,26,2.933014354,0,66.98564593,209,19,17,20,17,19,16,18,19,18,20,219,EV,63,1
20210323-1200-jagrassi,Long_Run,40.98463824,-79.6777354,2021,3,23,1.2,77.23143664,44.8898095,61.78204789,-16.89223839,-32.34162714,18,8,11,5.165853659,2.15856449,7.317073171,205,18,12,14,3.507317073,2.15856449,51.2195122,205,1,58.18366655,18.84107082,22.97526262,0,13,13,21,13,22,2.048543689,0,80.09708738,206,10,14,13,9,15,15,13,14,13,10,152,TSF ,50,1
20210323-1250-tdaley,Mahannon_Creek,40.63001045,-76.12469768,2021,3,23,11,38.94222652,34.31894497,34.8274074,-0.508462425,-4.623281542,16,2,2,5.16751269,1.934364699,12.18274112,197,16,4,1,5.365482234,1.934364699,10.15228426,197,0,21.9283043,56.53257928,20.73641643,0.802699991,16,15,21,4,2,5.316582915,0,12.06030151,199,13,18,17,11,16,19,8,11,12,13,169,CWF,50,0
20210323-1330-jagrassi,Fiddlers_Run,41.01504527,-79.47588173,2021,3,23,5.5,70.01931012,46.31261476,58.90091092,-12.58829616,-23.70669536,18,5,5,4.230434783,2.296563803,27.39130435,230,18,10,11,3.856521739,2.296563803,51.73913043,230,1,6.337437947,60.00902585,33.61485397,0.038682226,16,13,19,11,19,2.8,0,71.30434783,230,15,16,16,16,14,16,16,17,15,15,185,CWF,50,1
20210323-1345-tdaley,Mahonney_Creek,40.64590113,-76.13225421,2021,3,23,3.8,33.99452261,25.37494293,29.923998,-4.549055065,-8.619579673,12,2,0,6.100529101,1.620227058,0.529100529,189,12,3,1,5.492063492,1.620227058,10.58201058,189,0,13.87913286,70.26765169,15.81688265,0.036332809,13,14,16,4,2,5.421875,0,10.41666667,192,14,13,15,13,16,20,15,8,6,5,152,CWF,50,0
20210323-1435-tdaley,Mahonney_Creek,40.65435903,-76.13560604,2021,3,23,3.8,43.72696301,27.58620318,35.30552902,-7.719325836,-16.14075983,14,1,3,5.706185567,1.612478712,0.515463918,194,14,4,4,5.917525773,1.612478712,26.28865979,194,0,8.548948404,77.10697534,14.34407626,0,15,16,20,6,11,5.820512821,1.818909269,22.05128205,195,15,10,14,14,19,15,15,14,9,8,164,CWF,50,0
20210323-1550-tdaley,Mahonney_Creek,40.66250942,-76.13223456,2021,3,23,1.2,86.26792026,50.42941208,66.31138216,-15.88197008,-35.83850818,22,8,14,5.082474227,2.388579199,10.82474227,194,22,12,18,3.675257732,2.388579199,50,194,1,4.248145651,86.27781524,9.47403911,0,16,15,35,17,31,3.252525253,0,53.53535354,198,15,12,16,11,16,20,15,13,13,12,174,CWF,50,1
20210324-0945-rspear,Unnamed__Tributary_to_Raccoon_Creek,40.35942094,-80.39229006,2021,3,24,10.7,28.93069104,21.82620574,23.71999895,-1.89379321,-7.104485301,11,0,2,6.531100478,1.402011872,0.4784689,209,11,1,0,5.655502392,1.402011872,0.956937799,209,0,12.5313697,44.82234843,42.47457403,0.171707833,12,11,15,2,0,5.538095238,0,0.476190476,210,10,12,13,13,16,16,10,10,8,12,143,WWF,50,0
20210324-1000-jagrassi,Pine_Creek,41.02938946,-79.263092,2021,3,24,11.7,48.41652003,29.68989552,30.56056187,-0.870666351,-18.72662451,12,3,2,5.346341463,1.629949739,5.365853659,205,12,5,1,5.609756098,1.629949739,5.853658537,205,0,8.335070427,54.20922545,37.19960692,0.256097198,15,15,15,5,4,3.495145631,0,58.73786408,206,10,16,17,14,15,15,14,15,14,15,175,CWF,50,0
20210324-1045-jadetweile,Unnamed__Tributary_to_Raccoon_Creek,40.33817028,-80.38560875,2021,3,24,5.9,36.20008419,35.16792591,32.94414776,2.223778153,-1.032158277,14,3,7,5.276923077,1.88239464,8.717948718,195,14,4,4,5.948717949,1.88239464,6.666666667,195,0,9.430961357,36.38666352,54.15292177,0.029453346,15,14,17,4,5,5.841025641,2.050515367,7.179487179,195,13,15,13,13,16,16,10,10,8,8,151,WWF,50,0
20210324-1100-smeans,Laurel_Run,41.1859341,-78.51486379,2021,3,24,10.1,69.88351692,57.28527702,61.14958223,-3.864305206,-12.5982399,20,9,14,3.247474747,1.956686693,39.8989899,198,20,10,18,3.277777778,1.956686693,46.46464646,198,0,4.296379772,92.73489224,2.86660093,0.10212706,19,14,22,10,25,2.686567164,0,62.18905473,201,12,18,17,17,19,20,18,19,17,18,208,HQ-CWF,63,1
20210325-1045-drebuck,Unnamed__Tributary_to_Elk_Creek,40.89459802,-77.5059671,2021,3,25,0.4,83.90958671,53.24794768,64.67298243,-11.42503475,-30.66163903,23,9,14,4.52284264,2.237102123,16.75126904,197,23,14,20,4.375634518,2.237102123,37.56345178,197,1,3.2,95.6,1.2,0,15,17,28,17,30,3,0,70.35175879,199,18,16,19,15,18,14,18,18,15,16,199,HQ-CWF,63,1
20210325-1235-drebuck,Unnamed__Tributary_to_Elk_Creek,40.89075436,-77.51357937,2021,3,25,0.5,83.3139472,56.16060181,66.08354185,-9.922940032,-27.15334538,24,10,14,4.581151832,2.502472937,17.27748691,191,24,13,21,4.235602094,2.502472937,35.07853403,191,1,2.640264026,82.50825083,14.85148515,0,13,15,30,15,29,3.134020619,0,65.97938144,194,14,14,17,12,15,13,17,14,17,16,177,HQ-CWF,63,1
20210325-1500-drebuck,Unnamed__Tributary_to_Elk_Creek,40.88378854,-77.49827536,2021,3,25,2.2,13.78910736,15.96961057,13.67721056,2.292400013,2.180503214,6,1,0,5.0657277,0.313892347,0.469483568,213,6,1,0,6.136150235,0.313892347,0,213,0,7.243589744,51.9017094,40.85470085,0,13,16,6,1,0,6.126760563,0.203513831,0.469483568,213,10,13,14,13,16,14,14,11,10,7,151,HQ-CWF,63,0
20210329-0945-jagrassi,Grapevine_Run,41.20574539,-78.66524897,2021,3,29,0.4,81.31998401,59.61326661,69.50681029,-9.893543684,-21.7067174,19,9,14,3.652360515,2.570579963,40.34334764,233,19,12,19,2.751072961,2.570579963,56.65236052,233,1,6.863882444,87.87703016,5.259087394,0,18,18,25,14,25,2.230769231,0,70.94017094,234,17,18,18,17,17,16,18,19,19,18,213,CWF,50,1
20210329-1030-jagrassi,Unnamed__Tributary_to_Mountain_Run,41.20471219,-78.61132584,2021,3,29,0.7,73.267139,45.27957031,55.55037879,-10.27080848,-27.9875687,19,8,14,5.471615721,1.928533862,10.04366812,229,19,13,17,4.379912664,1.928533862,21.83406114,229,1,5.043746783,94.85331961,0.102933608,0,17,16,22,15,27,3.03930131,0,56.33187773,229,15,18,18,14,17,17,14,18,17,17,198,CWF,50,1
20210330-1000-jagrassi,Yeomans_Run,41.18762027,-79.07659453,2021,3,30,0.7,79.69345489,50.65392878,64.6668564,-14.01292762,-29.03952611,19,8,11,4.409090909,2.30334076,21.81818182,220,19,12,19,3.404545455,2.30334076,46.81818182,220,1,4.662949823,71.05930056,24.27774962,0,18,18,20,14,28,2.122727273,0,77.27272727,220,15,17,18,18,17,18,17,19,19,19,213,HQ-CWF,63,1
20210330-1100-jagrassi,Sugar_Camp_Run,41.17680957,-79.07442532,2021,3,30,1.2,78.74979346,50.47953286,63.80688814,-13.32735528,-28.2702606,18,7,11,4.396226415,2.430308751,24.05660377,212,18,11,16,3.537735849,2.430308751,53.77358491,212,1,10.53240741,65.48032407,23.95833333,0.028935185,18,18,22,13,27,2.485849057,2.47741128,73.58490566,212,14,17,18,17,17,18,18,19,18,18,210,HQ-CWF,63,1
20210330-1215-jeremmille,Stony_Creek,40.57574521,-76.06929759,2021,3,30,3.7,97.16254977,57.3802547,77.91941421,-20.53915951,-39.78229507,23,10,17,4.449275362,2.554985505,16.42512077,207,23,14,23,2.589371981,2.554985505,70.04830918,207,1,0,100,0,0,19,20,31,18,40,1.650717703,2.755333756,82.77511962,209,18,18,19,19,19,20,16,18,20,20,226,CWF ,50,1
20210330-1230-jagrassi,Pitchpine_Run,41.09851629,-78.88361297,2021,3,30,1.9,56.51953953,41.63291013,43.38540323,-1.752493099,-14.8866294,16,6,5,5.004716981,2.12576406,17.45283019,212,16,7,7,4.91509434,2.12576406,16.50943396,212,1,11.74363057,59.21576433,27.86624204,1.174363057,10,7,23,7,12,4.139534884,2.375259416,38.60465116,215,7,11,12,9,7,14,13,14,14,11,129,CWF,50,1
20210331-1345-tdaley,Neifert_Creek,40.83660996,-76.01393482,2021,3,31,2.8,48.05853382,37.05983911,36.81321875,0.246620362,-10.99869471,17,5,8,5.143617021,1.620753662,5.85106383,188,17,6,5,5.867021277,1.620753662,14.36170213,188,0,3.819444444,12.15277778,82.98611111,1.041666667,17,16,25,8,12,5.708333333,1.824733183,18.75,192,15,18,20,12,19,19,17,19,16,16,204,CWF,50,0
20210331-1415-tdaley,Neifert_Creek,40.83660319,-76.01401809,2021,3,31,2.8,48.66414096,32.62611364,38.27012507,-5.644011428,-16.03802732,16,4,8,5.155440415,1.194103689,3.10880829,193,16,7,12,5.637305699,1.194103689,14.50777202,193,0,16.53326335,59.70345099,21.49324236,2.270043301,17,16,25,10,16,5.702970297,1.456608558,14.85148515,202,15,18,20,12,19,19,17,19,16,16,204,CWF,50,0
20210405-1037-rwhiteash,Tumbling_Run,39.81317822,-77.48181108,2021,4,5,1.4,55.3505313,47.38143795,48.18131598,-0.799878031,-7.969093351,11,6,5,2.9375,1.535947932,55.28846154,208,11,6,10,3.615384615,1.535947932,55.28846154,208,0,7.219827586,92.78017241,0,0,17,13,14,6,9,3.089201878,1.629415951,77.9342723,213,9,18,20,7,13,16,20,20,20,20,193,HQ-CWF,63,0
20210405-1140-mshank,West_Branch_Antietam_Creek,39.83762557,-77.53309863,2021,4,5,4,81.22527791,46.30920282,62.80088736,-16.49168455,-34.91607509,20,8,12,4.981220657,2.050055818,8.450704225,213,20,10,17,3.338028169,2.050055818,54.92957746,213,1,5.543032787,94.44672131,0.010245902,0,19,19,26,13,31,2.408450704,0,69.48356808,213,15,18,16,18,19,19,16,19,19,17,214,HQ-CWF,63,1
20210405-1335-mshank,Phillaman_Run,39.95482189,-77.5478129,2021,4,5,1.4,61.69191429,41.87662167,47.85634729,-5.979725619,-19.81529262,13,6,8,4.552995392,1.775354744,25.34562212,217,13,9,13,4.433179724,1.775354744,29.95391705,217,1,0.112391121,99.77521776,0.112391121,0,14,19,16,8,18,3.004587156,0,66.51376147,218,16,15,15,14,20,19,16,18,13,10,189,CWF,50,1
20210405-1436-rwhiteash,Furnace_Run,39.98754134,-77.50071114,2021,4,5,2.2,73.36490047,49.61399491,56.19151301,-6.577518103,-23.75090556,15,8,8,3.802816901,1.934895363,38.02816901,213,15,10,17,3.962441315,1.934895363,44.1314554,213,1,2.176278564,97.73045236,0.093269081,0,18,15,20,11,24,2.685185185,2.087905486,80.55555556,216,14,16,15,14,19,18,15,19,20,18,201,CWF,50,1
20210406-0730-dushull,Birch_Run,39.95122962,-77.44320447,2021,4,6,3.5,66.28197697,51.62218492,53.86407455,-2.24188963,-14.65979205,17,9,13,4.567164179,1.990936447,33.83084577,201,17,8,12,3.552238806,1.990936447,41.29353234,201,0,5.199727865,94.5572942,0.165224998,0.07775294,20,20,20,9,17,2.848039216,0,60.78431373,204,16,16,20,20,20,19,20,20,18,20,229,HQ-CWF,63,1
20210406-0835-dushull,Knob_Run,39.95129447,-77.44425852,2021,4,6,1.2,57.42254879,47.09873361,50.68658942,-3.587855812,-10.32381518,11,6,5,3.3507109,1.78808796,50.71090047,211,11,6,11,3.203791469,1.78808796,54.02843602,211,0,0.059136606,99.94086339,0,0,20,20,13,6,13,2.674418605,1.869245436,70.69767442,215,19,18,19,20,20,19,19,20,18,20,232,HQ-CWF,63,0
20210406-1015-jagrassi,Stanton_Brook,41.73510336,-78.55008083,2021,4,6,2.8,91.10142594,59.89454527,76.77684538,-16.88230011,-31.20688067,24,11,20,4.826923077,2.561672764,19.23076923,208,24,15,24,2.956730769,2.561672764,58.65384615,208,1,2.531479538,95.39611752,0.931269675,1.141133263,18,19,28,17,37,2.206422018,2.676696263,72.01834862,218,17,17,18,16,18,19,18,19,19,19,217,HQ-CWF,63,1
20210406-1017-mshank,Long_Pine_Run,39.94266519,-77.45632083,2021,4,6,2.2,62.5103994,46.60042018,54.5506702,-7.950250017,-15.90997922,15,7,11,4.647887324,1.878870948,30.98591549,213,15,10,16,3.802816901,1.878870948,38.02816901,213,0,5.438401776,94.02251467,0.079276994,0.459806564,16,19,17,10,18,3.018779343,0,53.99061033,213,17,17,17,16,20,19,18,20,20,18,217,HQ-CWF,63,0
20210406-1105-dushull,Toms_Run,40.03388205,-77.30411455,2021,4,6,3.9,77.26358142,39.97545189,46.33876151,-6.363309619,-37.28812953,16,8,11,4.981220657,1.464565049,6.103286385,213,16,9,16,4.910798122,1.464565049,22.0657277,213,1,3.706469984,96.0694613,0,0.224068714,16,14,23,12,28,2.148837209,1.72269224,91.62790698,215,12,13,18,14,15,17,17,18,18,16,188,HQ-CWF,63,1
20210406-1205-dushull,Iron_Run,40.03727308,-77.28878692,2021,4,6,1.5,75.39737214,38.69490584,47.69865062,-9.003744781,-36.70246629,19,7,11,4.970731707,1.88704491,10.09756098,205,19,11,17,4.541463415,1.88704491,24.58536585,205,1,5.271358089,94.57283822,0,0.155803687,18,20,26,14,27,2.126829268,0.115315604,81.65853659,205,13,14,20,19,18,20,18,20,18,18,216,HQ-CWF,63,1
20210406-1300-jagrassi,Sibbald_Run,41.53615591,-79.43080129,2021,4,6,1,84.11551733,46.63117229,62.87234845,-16.24117616,-37.48434504,17,7,11,4.459090909,2.123758718,16.81818182,220,17,12,17,3.504545455,2.123758718,53.63636364,220,1,0.153491942,95.74059862,4.10590944,0,18,17,24,15,28,1.834080717,2.268959616,89.68609865,223,16,18,18,16,18,18,16,19,19,19,212,CWF,50,1
20210406-1400-dushull,Old_Town_Run,40.11955495,-77.1345784,2021,4,6,1.6,50.25627711,40.39513991,42.16748191,-1.772342003,-9.861137205,15,6,8,4.085308057,1.880361093,30.71090047,211,15,7,8,4.014218009,1.880361093,35.4028436,211,0,2.850061958,96.67905824,0.049566295,0.421313507,5,3,19,8,11,3.862559242,0,46.91943128,211,8,11,17,5,8,13,13,20,18,17,138,HQ-CWF,63,0
20210407-0849-rwhiteash,Robinson_Fork,39.96191572,-80.51169057,2021,4,7,22.2,40.5531835,34.0427724,35.7863914,-1.743618995,-6.5104111,15,4,2,5.29047619,1.8704142,7.619047619,210,15,4,3,5.523809524,1.8704142,16.66666667,210,0,6.667183863,77.06749418,16.00310318,0.262218774,11,13,20,7,5,5.497630332,2.015337599,5.687203791,211,15,18,14,12,17,19,11,11,12,7,160,WWF,50,0
20210407-0945-HuntingdonCCD,Unnamed__Tributary_to_North_Branch_Little_Aughwick_Creek,40.09477538,-77.87245926,2021,4,7,3,42.21673229,29.39851342,37.40953304,-8.011019618,-12.81821887,13,7,2,5.83248731,1.737440205,7.766497462,197,13,8,10,4.675126904,1.737440205,16.9035533,197,0,8.741418764,61.9221968,29.26773455,0.068649886,10,13,16,8,11,4.14213198,0,17.81725888,197,10,11,14,12,16,16,11,13,11,7,144,HQ-CWF,63,0
20210407-1030-jagrassi,Trout_Run,41.08632696,-78.90932999,2021,4,7,10.7,59.3421288,35.75237395,49.75069825,-13.9983243,-23.58975485,19,5,5,5.049261084,2.016820978,12.85714286,203,19,10,5,3.679802956,2.016820978,53.20197044,203,0,8.973608944,65.20410816,25.44526781,0.377015081,10,7,27,12,10,3.528846154,0,54.95192308,208,9,12,18,9,8,15,10,18,19,18,153,CWF,50,1
20210407-1115-HuntingdonCCD,Unnamed__Tributary_to_North_Branch_Little_Aughwick_Creek,40.09644719,-77.85705359,2021,4,7,0.2,82.73858021,64.05206792,71.56983382,-7.517765906,-18.68651229,24,10,17,3.683417085,2.589423379,38.69346734,199,24,12,22,3.296482412,2.589423379,52.7638191,199,1,4.447380009,75.38529282,20.16732717,0,8,17,29,14,28,3.019704433,2.707390098,67.98029557,203,8,8,17,9,17,8,17,15,15,15,154,HQ-CWF,63,1
20210407-1115-rwhiteash,Unnamed__Tributary_to_Robinson_Fork,39.97948908,-80.49119224,2021,4,7,1.7,70.10163258,48.28616063,60.73342995,-12.44726932,-21.81547195,17,6,14,4.06372549,2.06546372,20.58823529,204,17,12,16,3.676470588,2.06546372,48.52941176,204,1,5.204540587,81.152281,13.64317841,0,16,13,21,14,22,3.230392157,2.16757024,55.88235294,204,16,16,18,10,16,14,12,14,20,20,185,WWF,50,1
20210407-1215-HuntingdonCCD,Unnamed__Tributary_to_North_Branch_Little_Aughwick_Creek,40.09156495,-77.8652451,2021,4,7,0.5,49.49134184,41.63652444,43.15078625,-1.514261814,-7.854817404,17,5,5,5.043290043,1.930089066,25.54112554,231,17,6,5,4.567099567,1.930089066,23.80952381,231,0,22.12389381,12.38938053,65.48672566,0,11,13,23,6,6,4.242424242,2.117891962,29.43722944,231,8,7,13,8,18,11,9,15,12,7,132,HQ-CWF,63,0
20210407-1227-mhoger,Robinson_Fork,39.97782271,-80.48810643,2021,4,7,19.1,49.53967703,28.94507374,30.87793623,-1.932862491,-20.59460329,12,2,2,4.673819742,1.204904006,11.58798283,233,12,5,2,5.343347639,1.204904006,15.02145923,233,0,6.880733945,75.72477064,17.33761468,0.056880734,14,18,16,6,5,3.65470852,1.684810955,56.50224215,223,18,16,19,17,17,19,18,18,10,15,199,WWF,50,0
20210407-1300-jagrassi,Harveys_Run,41.17254562,-78.78765426,2021,4,7,1.6,63.21978969,49.88909788,47.71194983,2.177148055,-13.33069181,14,6,11,3.227906977,1.559703433,49.30232558,215,14,7,7,3.860465116,1.559703433,49.30232558,215,1,7.98034168,51.2754505,37.25719635,3.487011467,17,16,19,7,13,2.798165138,1.819847054,83.02752294,218,14,15,16,15,15,17,16,17,16,16,190,CWF,50,1
20210407-1313-rwhiteash,Robinson_Fork,39.98487745,-80.48222075,2021,4,7,19.1,61.73620597,42.4984187,46.95461696,-4.456198263,-19.23778727,18,7,5,5.241025641,2.06904729,16.41025641,195,18,8,7,4.615384615,2.06904729,23.58974359,195,1,6.904390629,75.39406692,17.65081632,0.050726135,12,14,25,13,12,4.214285714,2.525358212,29.59183673,196,15,15,15,18,20,16,14,10,13,10,172,WWF,50,1
20210407-1315-HuntingdonCCD,Unnamed__Tributary_to_North_Branch_Little_Aughwick_Creek,40.07831697,-77.86621601,2021,4,7,0.5,52.06815502,43.32159402,47.78255267,-4.460958648,-8.746560998,11,4,8,3.472826087,1.76058013,35.86956522,184,11,6,8,3.668478261,1.76058013,51.63043478,184,0,4.756871036,75.58139535,19.66173362,0,6,13,13,6,10,3.451086957,1.911520085,57.06521739,184,7,7,13,6,17,12,10,11,14,8,124,HQ-CWF,63,0
20210407-1430-HuntingdonCCD,Unnamed__Tributary_to_North_Branch_Little_Aughwick_Creek,40.08494768,-77.86447356,2021,4,7,0.6,46.74902634,44.05311013,40.38053296,3.672577171,-2.695916209,15,5,8,4.253521127,1.575277587,38.49765258,213,15,8,9,4.830985915,1.575277587,10.3286385,213,0,3.461538462,82.40384615,14.13461538,0,3,5,19,10,12,4.621495327,1.643278978,12.61682243,214,5,4,11,5,4,11,13,2,13,3,79,HQ-CWF,63,0
20210407-1530-HuntingdonCCD,North_Branch_Little_Aughwick_Creek,40.11824358,-77.85961668,2021,4,7,3.7,55.64763416,40.64815404,48.72869869,-8.080544648,-14.99948012,20,5,2,5.247572816,2.186308597,14.0776699,206,20,8,6,4.567961165,2.186308597,25.72815534,206,0,2.44535013,76.76917377,19.65542794,1.130048166,14,14,27,9,8,4.400966184,2.378492831,26.57004831,207,14,18,16,10,15,16,7,9,7,7,147,HQ-CWF,63,0
20210408-0845-mhoger,Unnamed__Tributary_to_Robinson_Fork,40.00486861,-80.47383158,2021,4,8,0.2,74.70438706,58.8698696,68.83089751,-9.961027911,-15.83451746,18,7,8,2.698564593,2.028020491,67.46411483,209,18,11,17,2.535885167,2.028020491,78.46889952,209,1,6.437454279,73.84540356,19.65130456,0.065837601,12,14,23,12,21,2.880952381,2.17251382,81.42857143,210,17,12,16,9,19,19,16,17,11,16,178,WWF,50,1
